route_id,day,requires_hotel_night,lodging_hub,lodging_status,room_price_yuan,lodging_feasible,lodging_note
HYBRID_30D_ACO_ALNS_SA,1,True,吐鲁番市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,2,True,吐鲁番市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,3,True,吐鲁番市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,4,True,吐鲁番市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,5,True,乌鲁木齐市,standard_hotel_hub,150.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,6,True,乌鲁木齐市,standard_hotel_hub,150.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,7,True,天池风景区,standard_hotel_hub,280.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,8,True,赛里木湖,standard_hotel_hub,260.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,9,True,赛里木湖,standard_hotel_hub,260.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,10,True,赛里木湖,standard_hotel_hub,260.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,11,True,特克斯县(八卦城),standard_hotel_hub,190.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,12,True,昭苏县(夏塔古道),standard_hotel_hub,210.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,13,True,昭苏县(夏塔古道),standard_hotel_hub,210.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,14,True,那拉提镇,standard_hotel_hub,200.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,15,True,那拉提镇,standard_hotel_hub,200.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,16,True,库尔勒市,standard_hotel_hub,150.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,17,True,库尔勒市,standard_hotel_hub,150.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,18,True,巴音布鲁克,standard_hotel_hub,230.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,19,True,巴音布鲁克,standard_hotel_hub,230.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,20,True,库车市,standard_hotel_hub,170.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,21,True,库车市,standard_hotel_hub,170.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,22,True,喀什市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,23,True,喀什市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,24,True,喀什市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,25,True,塔什库尔干县(帕米尔高原),standard_hotel_hub,200.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,26,True,塔什库尔干县(帕米尔高原),standard_hotel_hub,200.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,27,True,喀什市,standard_hotel_hub,180.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,28,True,和田市,standard_hotel_hub,160.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,29,True,和田市,standard_hotel_hub,160.0,True,standard lodging hub
HYBRID_30D_ACO_ALNS_SA,30,False,乌鲁木齐市,standard_hotel_hub,150.0,True,final return day
