route_id,day,start_time,end_time,visit_spots_count,visit_spots,day_travel_hours,day_wait_hours,day_service_hours,day_active_hours,active_budget_status,over_budget_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,risk_score,lodging_hub,lodging_status,room_price_yuan,time_window_violations,notes
PCOP_MILP,1,08:30,12:20,1,达坂城古镇,1.33,0.0,2.5,3.83,ok,0.0,55.43,80.0,0.074,达坂城镇,limited_or_simulated_lodging,260.0,0,
PCOP_MILP,2,08:30,15:25,1,天山天池,1.92,0.0,5.0,6.92,ok,0.0,92.74,310.0,0.096,天池风景区,standard_hotel_hub,280.0,0,
PCOP_MILP,3,08:30,11:19,1,北庭故城遗址,1.31,0.0,1.5,2.81,ok,0.0,60.98,76.0,0.077,乌鲁木齐市,standard_hotel_hub,150.0,0,
PCOP_MILP,4,08:30,15:42,1,吐峪沟麻扎村,4.7,0.0,2.5,7.2,ok,0.0,191.17,60.0,0.156,吐鲁番市,standard_hotel_hub,180.0,0,
PCOP_MILP,5,08:30,14:13,2,火焰山 -> 高昌故城,0.72,0.0,5.0,5.72,ok,0.0,18.45,220.0,0.092,吐鲁番市,standard_hotel_hub,180.0,0,
PCOP_MILP,6,08:30,15:05,2,交河故城 -> 葡萄沟,1.83,0.0,4.75,6.58,ok,0.0,56.05,180.0,0.136,吐鲁番市,standard_hotel_hub,180.0,0,
PCOP_MILP,7,08:30,12:10,2,坎儿井民俗园 -> 苏公塔,0.67,0.0,3.0,3.67,ok,0.0,10.81,170.0,0.087,吐鲁番市,standard_hotel_hub,180.0,0,
PCOP_MILP,8,08:30,14:18,0,,5.8,0.0,0.0,5.8,ok,0.0,233.5,0.0,0.16,库尔勒市,standard_hotel_hub,150.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_MILP,9,08:30,11:30,1,罗布人村寨,0.0,0.5,2.5,3.0,ok,0.0,0.0,70.0,0.0,库尔勒市,standard_hotel_hub,150.0,0,
PCOP_MILP,10,08:30,14:51,0,,6.35,0.0,0.0,6.35,ok,0.0,157.0,0.0,0.16,库车市,standard_hotel_hub,170.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_MILP,11,08:30,12:00,1,克孜尔石窟,0.0,1.0,2.5,3.5,ok,0.0,0.0,140.0,0.0,库车市,standard_hotel_hub,170.0,0,
PCOP_MILP,12,08:30,16:04,0,,7.56,0.0,0.0,7.56,ok,0.0,383.3,0.0,0.272,喀什市,standard_hotel_hub,180.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_MILP,13,08:30,13:30,1,喀什古城,0.0,1.5,3.5,5.0,ok,0.0,0.0,0.0,0.0,喀什市,standard_hotel_hub,180.0,0,
PCOP_MILP,14,08:30,18:06,1,石头城遗址,5.1,0.0,4.5,9.6,over_budget,1.6,189.5,60.0,0.16,塔什库尔干县(帕米尔高原),standard_hotel_hub,200.0,0,当天活动超过8小时预算
PCOP_MILP,15,08:30,16:06,1,香妃园,5.1,0.0,2.5,7.6,ok,0.0,189.5,120.0,0.16,喀什市,standard_hotel_hub,180.0,0,
PCOP_MILP,16,08:30,11:30,1,艾提尕尔清真寺,0.29,1.21,1.5,3.0,ok,0.0,2.72,60.0,0.042,喀什市,standard_hotel_hub,180.0,0,
PCOP_MILP,17,08:30,14:01,0,,5.52,0.0,0.0,5.52,ok,0.0,273.03,0.0,0.205,和田市,standard_hotel_hub,160.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_MILP,18,08:30,12:30,1,和田博物馆,0.0,1.5,2.5,4.0,ok,0.0,0.0,0.0,0.0,和田市,standard_hotel_hub,160.0,0,
PCOP_MILP,19,08:30,16:55,0,,8.41,0.0,0.0,8.41,over_budget,0.41,357.96,0.0,0.297,库车市,standard_hotel_hub,170.0,0,跨区长距离转移超过8小时，建议改为夜间火车/航班或拆分中停
PCOP_MILP,20,08:30,10:30,1,库车王府,0.0,0.5,1.5,2.0,ok,0.0,0.0,80.0,0.0,库车市,standard_hotel_hub,170.0,0,
PCOP_MILP,21,08:30,20:53,0,,12.39,0.0,0.0,12.39,over_budget,4.39,358.89,0.0,0.298,昭苏县(夏塔古道),standard_hotel_hub,210.0,0,跨区长距离转移超过8小时，建议改为夜间火车/航班或拆分中停
PCOP_MILP,22,08:30,12:00,1,昭苏草原,0.0,0.0,3.5,3.5,ok,0.0,0.0,0.0,0.0,昭苏县(夏塔古道),standard_hotel_hub,210.0,0,
PCOP_MILP,23,08:30,18:40,1,喀拉峻大草原,4.17,0.0,6.0,10.17,over_budget,2.17,63.65,280.0,0.079,特克斯县(八卦城),standard_hotel_hub,190.0,0,当天活动超过8小时预算
PCOP_MILP,24,08:30,19:30,1,那拉提草原,5.0,0.0,6.0,11.0,over_budget,3.0,147.98,270.0,0.13,那拉提镇,standard_hotel_hub,200.0,0,当天活动超过8小时预算
PCOP_MILP,25,08:30,15:18,1,霍城薰衣草花田,4.3,0.0,2.5,6.8,ok,0.0,183.41,70.0,0.151,霍城县(惠远古城),limited_or_simulated_lodging,260.0,0,
PCOP_MILP,26,08:30,10:36,1,果子沟大桥,0.6,0.0,1.5,2.1,ok,0.0,19.1,0.0,0.052,赛里木湖,standard_hotel_hub,260.0,0,
PCOP_MILP,27,08:30,14:48,1,赛里木湖,0.3,0.0,6.0,6.3,ok,0.0,30.0,290.0,0.08,赛里木湖,standard_hotel_hub,260.0,0,
PCOP_MILP,28,08:30,14:24,0,,5.9,0.0,0.0,5.9,ok,0.0,304.15,0.0,0.224,乌鲁木齐市,standard_hotel_hub,150.0,0,
